words,audio
岁,audio_files/岁.mp3
他,audio_files/他.mp3
她,audio_files/她.mp3
太,audio_files/太.mp3
太,audio_files/太.mp3
天气,audio_files/天气.mp3
听,audio_files/听.mp3
听,audio_files/听.mp3
同学,audio_files/同学.mp3
喂,audio_files/喂.mp3
我,audio_files/我.mp3
我们,audio_files/我们.mp3
五,audio_files/五.mp3
喜欢,audio_files/喜欢.mp3
下,audio_files/下.mp3
下,audio_files/下.mp3
下,audio_files/下.mp3
下,audio_files/下.mp3
下,audio_files/下.mp3
下午,audio_files/下午.mp3
下雨,audio_files/下雨.mp3
先生,audio_files/先生.mp3
现在,audio_files/现在.mp3
想,audio_files/想.mp3
想,audio_files/想.mp3
想,audio_files/想.mp3
小,audio_files/小.mp3
小,audio_files/小.mp3
小,audio_files/小.mp3
小姐,audio_files/小姐.mp3
些,audio_files/些.mp3
些,audio_files/些.mp3
写,audio_files/写.mp3
谢谢,audio_files/谢谢.mp3
星期,audio_files/星期.mp3
学生,audio_files/学生.mp3
学习,audio_files/学习.mp3
学校,audio_files/学校.mp3
一,audio_files/一.mp3
一,audio_files/一.mp3
一点儿,audio_files/一点儿.mp3
衣服,audio_files/衣服.mp3
医生,audio_files/医生.mp3
医院,audio_files/医院.mp3
椅子,audio_files/椅子.mp3
有,audio_files/有.mp3
有,audio_files/有.mp3
月,audio_files/月.mp3
再见,audio_files/再见.mp3
在,audio_files/在.mp3
在,audio_files/在.mp3
怎么,audio_files/怎么.mp3
怎么样,audio_files/怎么样.mp3
这（这儿）,audio_files/这（这儿）.mp3
中国,audio_files/中国.mp3
中午,audio_files/中午.mp3
住,audio_files/住.mp3
桌子,audio_files/桌子.mp3
字,audio_files/字.mp3
昨天,audio_files/昨天.mp3
坐,audio_files/坐.mp3
坐,audio_files/坐.mp3
做,audio_files/做.mp3
做,audio_files/做.mp3
做,audio_files/做.mp3
吧,audio_files/吧.mp3
吧,audio_files/吧.mp3
白,audio_files/白.mp3
百,audio_files/百.mp3
帮助,audio_files/帮助.mp3
报纸,audio_files/报纸.mp3
比,audio_files/比.mp3
别,audio_files/别.mp3
长,audio_files/长.mp3
唱歌,audio_files/唱歌.mp3
出,audio_files/出.mp3
出,audio_files/出.mp3
出,audio_files/出.mp3
穿,audio_files/穿.mp3
次,audio_files/次.mp3
从,audio_files/从.mp3
错,audio_files/错.mp3
打篮球,audio_files/打篮球.mp3
大家,audio_files/大家.mp3
到,audio_files/到.mp3
得,audio_files/得.mp3
等,audio_files/等.mp3
弟弟,audio_files/弟弟.mp3
第一,audio_files/第一.mp3
懂,audio_files/懂.mp3
对,audio_files/对.mp3
对,audio_files/对.mp3
房间,audio_files/房间.mp3
非常,audio_files/非常.mp3
服务员,audio_files/服务员.mp3
高,audio_files/高.mp3
告诉,audio_files/告诉.mp3
哥哥,audio_files/哥哥.mp3
给,audio_files/给.mp3
给,audio_files/给.mp3
公共汽车,audio_files/公共汽车.mp3
公司,audio_files/公司.mp3
狗,audio_files/狗.mp3
贵,audio_files/贵.mp3
过,audio_files/过.mp3
还,audio_files/还.mp3
还,audio_files/还.mp3
孩子,audio_files/孩子.mp3
孩子,audio_files/孩子.mp3
好吃,audio_files/好吃.mp3
黑,audio_files/黑.mp3
红,audio_files/红.mp3
欢迎,audio_files/欢迎.mp3
回答,audio_files/回答.mp3
回答,audio_files/回答.mp3
火车站,audio_files/火车站.mp3
机场,audio_files/机场.mp3
鸡蛋,audio_files/鸡蛋.mp3
件,audio_files/件.mp3
教室,audio_files/教室.mp3
姐姐,audio_files/姐姐.mp3
介绍,audio_files/介绍.mp3
介绍,audio_files/介绍.mp3
进,audio_files/进.mp3
近,audio_files/近.mp3
近,audio_files/近.mp3
就,audio_files/就.mp3
就,audio_files/就.mp3
觉得,audio_files/觉得.mp3
咖啡,audio_files/咖啡.mp3
开始,audio_files/开始.mp3
开始,audio_files/开始.mp3
考试,audio_files/考试.mp3
可能,audio_files/可能.mp3
可能,audio_files/可能.mp3
可以,audio_files/可以.mp3
可以,audio_files/可以.mp3
课,audio_files/课.mp3
快,audio_files/快.mp3
快,audio_files/快.mp3
快乐,audio_files/快乐.mp3
快乐,audio_files/快乐.mp3
累,audio_files/累.mp3
离,audio_files/离.mp3
两,audio_files/两.mp3
路,audio_files/路.mp3
路,audio_files/路.mp3
旅游,audio_files/旅游.mp3
卖,audio_files/卖.mp3
慢,audio_files/慢.mp3
忙,audio_files/忙.mp3
忙,audio_files/忙.mp3
猫,audio_files/猫.mp3
每,audio_files/每.mp3
妹妹,audio_files/妹妹.mp3
门,audio_files/门.mp3
门,audio_files/门.mp3
男,audio_files/男.mp3
您,audio_files/您.mp3
牛奶,audio_files/牛奶.mp3
女,audio_files/女.mp3
旁边,audio_files/旁边.mp3
跑步,audio_files/跑步.mp3
便宜,audio_files/便宜.mp3
票,audio_files/票.mp3
妻子,audio_files/妻子.mp3
起床,audio_files/起床.mp3
千,audio_files/千.mp3
铅笔,audio_files/铅笔.mp3
晴,audio_files/晴.mp3
去年,audio_files/去年.mp3
让,audio_files/让.mp3
让,audio_files/让.mp3
日,audio_files/日.mp3
上班,audio_files/上班.mp3
身体,audio_files/身体.mp3
生病,audio_files/生病.mp3
生日,audio_files/生日.mp3
时间,audio_files/时间.mp3
事情,audio_files/事情.mp3
手表,audio_files/手表.mp3
手机,audio_files/手机.mp3
送,audio_files/送.mp3
送,audio_files/送.mp3
虽然……但是……,audio_files/虽然……但是…….mp3
它,audio_files/它.mp3
踢足球,audio_files/踢足球.mp3
题,audio_files/题.mp3
跳舞,audio_files/跳舞.mp3
外,audio_files/外.mp3
外,audio_files/外.mp3
完,audio_files/完.mp3
玩,audio_files/玩.mp3
晚上,audio_files/晚上.mp3
为什么,audio_files/为什么.mp3
问,audio_files/问.mp3
问题,audio_files/问题.mp3
西瓜,audio_files/西瓜.mp3
希望,audio_files/希望.mp3
希望,audio_files/希望.mp3
洗,audio_files/洗.mp3
洗,audio_files/洗.mp3
小时,audio_files/小时.mp3
笑,audio_files/笑.mp3
新,audio_files/新.mp3
姓,audio_files/姓.mp3
姓,audio_files/姓.mp3
休息,audio_files/休息.mp3
雪,audio_files/雪.mp3
颜色,audio_files/颜色.mp3
眼睛,audio_files/眼睛.mp3
羊肉,audio_files/羊肉.mp3
药,audio_files/药.mp3
要,audio_files/要.mp3
要,audio_files/要.mp3
要,audio_files/要.mp3
要,audio_files/要.mp3
要,audio_files/要.mp3
也,audio_files/也.mp3
一下,audio_files/一下.mp3
一起,audio_files/一起.mp3
已经,audio_files/已经.mp3
意思,audio_files/意思.mp3
意思,audio_files/意思.mp3
意思,audio_files/意思.mp3
因为……所以……,audio_files/因为……所以…….mp3
阴,audio_files/阴.mp3
游泳,audio_files/游泳.mp3
右边,audio_files/右边.mp3
鱼,audio_files/鱼.mp3
远,audio_files/远.mp3
运动,audio_files/运动.mp3
再,audio_files/再.mp3
再,audio_files/再.mp3
早上,audio_files/早上.mp3
丈夫,audio_files/丈夫.mp3
找,audio_files/找.mp3
着,audio_files/着.mp3
真,audio_files/真.mp3
正在,audio_files/正在.mp3
知道,audio_files/知道.mp3
准备,audio_files/准备.mp3
准备,audio_files/准备.mp3
自行车,audio_files/自行车.mp3
走,audio_files/走.mp3
走,audio_files/走.mp3
最,audio_files/最.mp3
左边,audio_files/左边.mp3
阿姨,audio_files/阿姨.mp3
啊,audio_files/啊.mp3
矮,audio_files/矮.mp3
爱好,audio_files/爱好.mp3
爱好,audio_files/爱好.mp3
安静,audio_files/安静.mp3
安静,audio_files/安静.mp3
把,audio_files/把.mp3
把,audio_files/把.mp3
班,audio_files/班.mp3
搬,audio_files/搬.mp3
办法,audio_files/办法.mp3
办公室,audio_files/办公室.mp3
半,audio_files/半.mp3
帮忙,audio_files/帮忙.mp3
包,audio_files/包.mp3
饱,audio_files/饱.mp3
北方,audio_files/北方.mp3
被,audio_files/被.mp3
鼻子,audio_files/鼻子.mp3
比较,audio_files/比较.mp3
比赛,audio_files/比赛.mp3
比赛,audio_files/比赛.mp3
笔记本,audio_files/笔记本.mp3
笔记本,audio_files/笔记本.mp3
必须,audio_files/必须.mp3
变化,audio_files/变化.mp3
变化,audio_files/变化.mp3
别人,audio_files/别人.mp3
宾馆,audio_files/宾馆.mp3
冰箱,audio_files/冰箱.mp3
不但……而且……,audio_files/不但……而且…….mp3
才,audio_files/才.mp3
才,audio_files/才.mp3
菜单,audio_files/菜单.mp3
参加,audio_files/参加.mp3
草,audio_files/草.mp3
层,audio_files/层.mp3
差,audio_files/差.mp3
差,audio_files/差.mp3
长,audio_files/长.mp3
超市,audio_files/超市.mp3
衬衫,audio_files/衬衫.mp3
成绩,audio_files/成绩.mp3
城市,audio_files/城市.mp3
迟到,audio_files/迟到.mp3
出现,audio_files/出现.mp3
除了,audio_files/除了.mp3
船,audio_files/船.mp3
春,audio_files/春.mp3
词典,audio_files/词典.mp3
聪明,audio_files/聪明.mp3
打扫,audio_files/打扫.mp3
打算,audio_files/打算.mp3
打算,audio_files/打算.mp3
带,audio_files/带.mp3
担心,audio_files/担心.mp3
蛋糕,audio_files/蛋糕.mp3
当然,audio_files/当然.mp3
灯,audio_files/灯.mp3
地,audio_files/地.mp3
地方,audio_files/地方.mp3
地铁,audio_files/地铁.mp3
地图,audio_files/地图.mp3
电梯,audio_files/电梯.mp3
电子邮件,audio_files/电子邮件.mp3
东,audio_files/东.mp3
冬,audio_files/冬.mp3
动物园,audio_files/动物园.mp3
短,audio_files/短.mp3
段,audio_files/段.mp3
锻炼,audio_files/锻炼.mp3
多么,audio_files/多么.mp3
饿,audio_files/饿.mp3
耳朵,audio_files/耳朵.mp3
发,audio_files/发.mp3
发烧,audio_files/发烧.mp3
发现,audio_files/发现.mp3
方便,audio_files/方便.mp3
放,audio_files/放.mp3
放心,audio_files/放心.mp3
分,audio_files/分.mp3
分,audio_files/分.mp3
分,audio_files/分.mp3
附近,audio_files/附近.mp3
复习,audio_files/复习.mp3
干净,audio_files/干净.mp3
感冒,audio_files/感冒.mp3
感兴趣,audio_files/感兴趣.mp3
刚才,audio_files/刚才.mp3
个子,audio_files/个子.mp3
根据,audio_files/根据.mp3
根据,audio_files/根据.mp3
跟,audio_files/跟.mp3
跟,audio_files/跟.mp3
更,audio_files/更.mp3
公斤,audio_files/公斤.mp3
公园,audio_files/公园.mp3
故事,audio_files/故事.mp3
刮风,audio_files/刮风.mp3
关,audio_files/关.mp3
关系,audio_files/关系.mp3
关心,audio_files/关心.mp3
关心,audio_files/关心.mp3
关于,audio_files/关于.mp3
国家,audio_files/国家.mp3
过,audio_files/过.mp3
过,audio_files/过.mp3
过去,audio_files/过去.mp3
还是,audio_files/还是.mp3
还是,audio_files/还是.mp3
还是,audio_files/还是.mp3
害怕,audio_files/害怕.mp3
航班,audio_files/航班.mp3
黑板,audio_files/黑板.mp3
后来,audio_files/后来.mp3
护照,audio_files/护照.mp3
花,audio_files/花.mp3
花,audio_files/花.mp3
画,audio_files/画.mp3
画,audio_files/画.mp3
坏,audio_files/坏.mp3
坏,audio_files/坏.mp3
还,audio_files/还.mp3
环境,audio_files/环境.mp3
换,audio_files/换.mp3
换,audio_files/换.mp3
黄河,audio_files/黄河.mp3
会议,audio_files/会议.mp3
或者,audio_files/或者.mp3
几乎,audio_files/几乎.mp3
机会,audio_files/机会.mp3
极,audio_files/极.mp3
记得,audio_files/记得.mp3
季节,audio_files/季节.mp3
检查,audio_files/检查.mp3
简单,audio_files/简单.mp3
见面,audio_files/见面.mp3
健康,audio_files/健康.mp3
讲,audio_files/讲.mp3
降落,audio_files/降落.mp3
角,audio_files/角.mp3
角,audio_files/角.mp3
脚,audio_files/脚.mp3
教,audio_files/教.mp3
接,audio_files/接.mp3
接,audio_files/接.mp3
街道,audio_files/街道.mp3
节目,audio_files/节目.mp3
节日,audio_files/节日.mp3
结婚,audio_files/结婚.mp3
结束,audio_files/结束.mp3
解决,audio_files/解决.mp3
借,audio_files/借.mp3
经常,audio_files/经常.mp3
经过,audio_files/经过.mp3
经过,audio_files/经过.mp3
经理,audio_files/经理.mp3
久,audio_files/久.mp3
旧,audio_files/旧.mp3
句子,audio_files/句子.mp3
决定,audio_files/决定.mp3
决定,audio_files/决定.mp3
可爱,audio_files/可爱.mp3
渴,audio_files/渴.mp3
刻,audio_files/刻.mp3
客人,audio_files/客人.mp3
空调,audio_files/空调.mp3
口,audio_files/口.mp3
口,audio_files/口.mp3
哭,audio_files/哭.mp3
裤子,audio_files/裤子.mp3
筷子,audio_files/筷子.mp3
蓝,audio_files/蓝.mp3
老,audio_files/老.mp3
离开,audio_files/离开.mp3
礼物,audio_files/礼物.mp3
历史,audio_files/历史.mp3
脸,audio_files/脸.mp3
练习,audio_files/练习.mp3
练习,audio_files/练习.mp3
辆,audio_files/辆.mp3
聊天,audio_files/聊天.mp3
了解,audio_files/了解.mp3
邻居,audio_files/邻居.mp3
留学,audio_files/留学.mp3
楼,audio_files/楼.mp3
绿,audio_files/绿.mp3
马,audio_files/马.mp3
马上,audio_files/马上.mp3
满意,audio_files/满意.mp3
帽子,audio_files/帽子.mp3
米,audio_files/米.mp3
面包,audio_files/面包.mp3
面条,audio_files/面条.mp3
明白,audio_files/明白.mp3
明白,audio_files/明白.mp3
拿,audio_files/拿.mp3
奶奶,audio_files/奶奶.mp3
南,audio_files/南.mp3
难,audio_files/难.mp3
难过,audio_files/难过.mp3
年级,audio_files/年级.mp3
年轻,audio_files/年轻.mp3
鸟,audio_files/鸟.mp3
努力,audio_files/努力.mp3
爬山,audio_files/爬山.mp3
盘子,audio_files/盘子.mp3
胖,audio_files/胖.mp3
胖,audio_files/胖.mp3
皮鞋,audio_files/皮鞋.mp3
啤酒,audio_files/啤酒.mp3
普通话,audio_files/普通话.mp3
其实,audio_files/其实.mp3
其他,audio_files/其他.mp3
奇怪,audio_files/奇怪.mp3
骑,audio_files/骑.mp3
起飞,audio_files/起飞.mp3
清楚,audio_files/清楚.mp3
清楚,audio_files/清楚.mp3
秋,audio_files/秋.mp3
裙子,audio_files/裙子.mp3
然后,audio_files/然后.mp3
热情,audio_files/热情.mp3
认为,audio_files/认为.mp3
认真,audio_files/认真.mp3
容易,audio_files/容易.mp3
如果,audio_files/如果.mp3
伞,audio_files/伞.mp3
上网,audio_files/上网.mp3
生气,audio_files/生气.mp3
声音,audio_files/声音.mp3
世界,audio_files/世界.mp3
试,audio_files/试.mp3
瘦,audio_files/瘦.mp3
瘦,audio_files/瘦.mp3
叔叔,audio_files/叔叔.mp3
舒服,audio_files/舒服.mp3
树,audio_files/树.mp3
数学,audio_files/数学.mp3
刷牙,audio_files/刷牙.mp3
双,audio_files/双.mp3
水平,audio_files/水平.mp3
司机,audio_files/司机.mp3
太阳,audio_files/太阳.mp3
特别,audio_files/特别.mp3
特别,audio_files/特别.mp3
疼,audio_files/疼.mp3
提高,audio_files/提高.mp3
提高,audio_files/提高.mp3
体育,audio_files/体育.mp3
甜,audio_files/甜.mp3
条,audio_files/条.mp3
同事,audio_files/同事.mp3
同意,audio_files/同意.mp3
头发,audio_files/头发.mp3
突然,audio_files/突然.mp3
突然,audio_files/突然.mp3
图书馆,audio_files/图书馆.mp3
腿,audio_files/腿.mp3
完成,audio_files/完成.mp3
碗,audio_files/碗.mp3
碗,audio_files/碗.mp3
万,audio_files/万.mp3
忘记,audio_files/忘记.mp3
为,audio_files/为.mp3
为了,audio_files/为了.mp3
位,audio_files/位.mp3
文化,audio_files/文化.mp3
西,audio_files/西.mp3
习惯,audio_files/习惯.mp3
习惯,audio_files/习惯.mp3
洗手间,audio_files/洗手间.mp3
洗澡,audio_files/洗澡.mp3
夏,audio_files/夏.mp3
先,audio_files/先.mp3
相信,audio_files/相信.mp3
香蕉,audio_files/香蕉.mp3
向,audio_files/向.mp3
像,audio_files/像.mp3
像,audio_files/像.mp3
小心,audio_files/小心.mp3
小心,audio_files/小心.mp3
校长,audio_files/校长.mp3
新闻,audio_files/新闻.mp3
新鲜,audio_files/新鲜.mp3
信用卡,audio_files/信用卡.mp3
行李箱,audio_files/行李箱.mp3
熊猫,audio_files/熊猫.mp3
需要,audio_files/需要.mp3
选择,audio_files/选择.mp3
选择,audio_files/选择.mp3
要求,audio_files/要求.mp3
要求,audio_files/要求.mp3
爷爷,audio_files/爷爷.mp3
一定,audio_files/一定.mp3
一定,audio_files/一定.mp3
一共,audio_files/一共.mp3
一会儿,audio_files/一会儿.mp3
一样,audio_files/一样.mp3
一般,audio_files/一般.mp3
一边,audio_files/一边.mp3
一直,audio_files/一直.mp3
以前,audio_files/以前.mp3
音乐,audio_files/音乐.mp3
银行,audio_files/银行.mp3
饮料,audio_files/饮料.mp3
应该,audio_files/应该.mp3
影响,audio_files/影响.mp3
影响,audio_files/影响.mp3
用,audio_files/用.mp3
游戏,audio_files/游戏.mp3
有名,audio_files/有名.mp3
又,audio_files/又.mp3
遇到,audio_files/遇到.mp3
元,audio_files/元.mp3
愿意,audio_files/愿意.mp3
月亮,audio_files/月亮.mp3
越,audio_files/越.mp3
站,audio_files/站.mp3
站,audio_files/站.mp3
张,audio_files/张.mp3
张,audio_files/张.mp3
照顾,audio_files/照顾.mp3
照顾,audio_files/照顾.mp3
照片,audio_files/照片.mp3
照相机,audio_files/照相机.mp3
只,audio_files/只.mp3
只,audio_files/只.mp3
中间,audio_files/中间.mp3
中文,audio_files/中文.mp3
终于,audio_files/终于.mp3
种,audio_files/种.mp3
重要,audio_files/重要.mp3
周末,audio_files/周末.mp3
主要,audio_files/主要.mp3
注意,audio_files/注意.mp3
着急,audio_files/着急.mp3
自己,audio_files/自己.mp3
总是,audio_files/总是.mp3
嘴,audio_files/嘴.mp3
最近,audio_files/最近.mp3
作业,audio_files/作业.mp3
作用,audio_files/作用.mp3
爱情,audio_files/爱情.mp3
安排,audio_files/安排.mp3
安排,audio_files/安排.mp3
安全,audio_files/安全.mp3
安全,audio_files/安全.mp3
按时,audio_files/按时.mp3
按照,audio_files/按照.mp3
百分之,audio_files/百分之.mp3
棒,audio_files/棒.mp3
包子,audio_files/包子.mp3
保护,audio_files/保护.mp3
保证,audio_files/保证.mp3
保证,audio_files/保证.mp3
报名,audio_files/报名.mp3
抱,audio_files/抱.mp3
抱歉,audio_files/抱歉.mp3
倍,audio_files/倍.mp3
本来,audio_files/本来.mp3
笨,audio_files/笨.mp3
比如,audio_files/比如.mp3
毕业,audio_files/毕业.mp3
遍,audio_files/遍.mp3
标准,audio_files/标准.mp3
标准,audio_files/标准.mp3
表格,audio_files/表格.mp3
表示,audio_files/表示.mp3
表演,audio_files/表演.mp3
表演,audio_files/表演.mp3
表扬,audio_files/表扬.mp3
表扬,audio_files/表扬.mp3
饼干,audio_files/饼干.mp3
并且,audio_files/并且.mp3
博士,audio_files/博士.mp3
不过,audio_files/不过.mp3
不得不,audio_files/不得不.mp3
不管,audio_files/不管.mp3
不好意思,audio_files/不好意思.mp3
不仅,audio_files/不仅.mp3
部分,audio_files/部分.mp3
擦,audio_files/擦.mp3
猜,audio_files/猜.mp3
材料,audio_files/材料.mp3
参观,audio_files/参观.mp3
餐厅,audio_files/餐厅.mp3
厕所,audio_files/厕所.mp3
差不多,audio_files/差不多.mp3
长城,audio_files/长城.mp3
长江,audio_files/长江.mp3
尝,audio_files/尝.mp3
场,audio_files/场.mp3
超过,audio_files/超过.mp3
吵,audio_files/吵.mp3
吵,audio_files/吵.mp3
成功,audio_files/成功.mp3
成功,audio_files/成功.mp3
成为,audio_files/成为.mp3
诚实,audio_files/诚实.mp3
乘坐,audio_files/乘坐.mp3
吃惊,audio_files/吃惊.mp3
重新,audio_files/重新.mp3
抽烟,audio_files/抽烟.mp3
出差,audio_files/出差.mp3
出发,audio_files/出发.mp3
出生,audio_files/出生.mp3
厨房,audio_files/厨房.mp3
传真,audio_files/传真.mp3
窗户,audio_files/窗户.mp3
词语,audio_files/词语.mp3
从来,audio_files/从来.mp3
粗心,audio_files/粗心.mp3
存,audio_files/存.mp3
错误,audio_files/错误.mp3
错误,audio_files/错误.mp3
答案,audio_files/答案.mp3
打扮,audio_files/打扮.mp3
打扰,audio_files/打扰.mp3
打印,audio_files/打印.mp3
打招呼,audio_files/打招呼.mp3
打折,audio_files/打折.mp3
打针,audio_files/打针.mp3
大概,audio_files/大概.mp3
大使馆,audio_files/大使馆.mp3
大约,audio_files/大约.mp3
大夫,audio_files/大夫.mp3
戴,audio_files/戴.mp3
当时,audio_files/当时.mp3
刀,audio_files/刀.mp3
导游,audio_files/导游.mp3
倒,audio_files/倒.mp3
到处,audio_files/到处.mp3
到底,audio_files/到底.mp3
道歉,audio_files/道歉.mp3
得意,audio_files/得意.mp3
得,audio_files/得.mp3
得,audio_files/得.mp3
登机牌,audio_files/登机牌.mp3
等,audio_files/等.mp3
低,audio_files/低.mp3
低,audio_files/低.mp3
底,audio_files/底.mp3
地点,audio_files/地点.mp3
地球,audio_files/地球.mp3
地址,audio_files/地址.mp3
调查,audio_files/调查.mp3
调查,audio_files/调查.mp3
掉,audio_files/掉.mp3
丢,audio_files/丢.mp3
动作,audio_files/动作.mp3
堵车,audio_files/堵车.mp3
肚子,audio_files/肚子.mp3
短信,audio_files/短信.mp3
对话,audio_files/对话.mp3
对面,audio_files/对面.mp3
儿童,audio_files/儿童.mp3
而,audio_files/而.mp3
发生,audio_files/发生.mp3
发展,audio_files/发展.mp3
法律,audio_files/法律.mp3
翻译,audio_files/翻译.mp3
烦恼,audio_files/烦恼.mp3
烦恼,audio_files/烦恼.mp3
反对,audio_files/反对.mp3
方法,audio_files/方法.mp3
方面,audio_files/方面.mp3
方向,audio_files/方向.mp3
房东,audio_files/房东.mp3
放弃,audio_files/放弃.mp3
放暑假,audio_files/放暑假.mp3
放松,audio_files/放松.mp3
费用,audio_files/费用.mp3
份,audio_files/份.mp3
丰富,audio_files/丰富.mp3
丰富,audio_files/丰富.mp3
否则,audio_files/否则.mp3
符合,audio_files/符合.mp3
父亲,audio_files/父亲.mp3
付款,audio_files/付款.mp3
负责,audio_files/负责.mp3
负责,audio_files/负责.mp3
复印,audio_files/复印.mp3
复杂,audio_files/复杂.mp3
富,audio_files/富.mp3
改变,audio_files/改变.mp3
改变,audio_files/改变.mp3
干杯,audio_files/干杯.mp3
赶,audio_files/赶.mp3
敢,audio_files/敢.mp3
感动,audio_files/感动.mp3
感觉,audio_files/感觉.mp3
感觉,audio_files/感觉.mp3
感情,audio_files/感情.mp3
感谢,audio_files/感谢.mp3
感谢,audio_files/感谢.mp3
干,audio_files/干.mp3
高级,audio_files/高级.mp3
高速公路,audio_files/高速公路.mp3
各,audio_files/各.mp3
工资,audio_files/工资.mp3
公里,audio_files/公里.mp3
功夫,audio_files/功夫.mp3
共同,audio_files/共同.mp3
购物,audio_files/购物.mp3
够,audio_files/够.mp3
够,audio_files/够.mp3
估计,audio_files/估计.mp3
估计,audio_files/估计.mp3
鼓励,audio_files/鼓励.mp3
鼓励,audio_files/鼓励.mp3
故意,audio_files/故意.mp3
顾客,audio_files/顾客.mp3
挂,audio_files/挂.mp3
挂,audio_files/挂.mp3
关键,audio_files/关键.mp3
关键,audio_files/关键.mp3
观众,audio_files/观众.mp3
管理,audio_files/管理.mp3
管理,audio_files/管理.mp3
光,audio_files/光.mp3
光,audio_files/光.mp3
光,audio_files/光.mp3
广播,audio_files/广播.mp3
广告,audio_files/广告.mp3
逛,audio_files/逛.mp3
规定,audio_files/规定.mp3
规定,audio_files/规定.mp3
国籍,audio_files/国籍.mp3
国际,audio_files/国际.mp3
果汁,audio_files/果汁.mp3
过程,audio_files/过程.mp3
